Cell Type,Category,Reference,Eval
INXXX858_f,Female Specific,New,
INXXX859_f,Female Specific,New,
INXXX860_f,Female Specific,New,
INXXX861_f,Female Specific,New,
INXXX862_f,Female Specific,New,
INXXX863_f,Female Specific,New,
INXXX864_f,Female Specific,New,
INXXX865_f,Female Specific,New,
INXXX866_f,Female Specific,New,
INXXX867_f,Female Specific,New,
INXXX868_f,Female Specific,New,
INXXX869_f,Female Specific,New,
INXXX870_f,Female Specific,New,
INXXX871_f,Female Specific,New,
INXXX872_f,Female Specific,New,
INXXX873_f,Female Specific,New,
INXXX874_f,Female Specific,New,
INXXX875_f,Female Specific,New,
INXXX876_f,Female Specific,New,
INXXX877_f,Female Specific,New,
INXXX878_f,Female Specific,New,
INXXX879_f,Female Specific,New,
INXXX880_f,Female Specific,New,
INXXX881_f,Female Specific,New,
INXXX882_f,Female Specific,New,
INXXX883_f,Female Specific,New,
INXXX884_f,Female Specific,New,
INXXX885_f,Female Specific,New,
INXXX886_f,Female Specific,New,
INXXX887_f,Female Specific,New,
INXXX888_f,Female Specific,New,
INXXX889_f,Female Specific,New,
INXXX890_f,Female Specific,New,
INXXX891_f,Female Specific,New,
INXXX892_f,Female Specific,New,
INXXX893_f,Female Specific,New,
INXXX894_f,Female Specific,New,
INXXX895_f,Female Specific,New,
INXXX896_f,Female Specific,New,
INXXX897_f,Female Specific,New,
INXXX898_f,Female Specific,New,
INXXX899_f,Female Specific,New,
INXXX900_f,Female Specific,New,
INXXX901_f,Female Specific,New,
INXXX902_f,Female Specific,New,
INXXX903_f,Female Specific,New,
INXXX904_f,Female Specific,New,
INXXX905_f,Female Specific,New,
INXXX906_f,Female Specific,New,
INXXX907_f,Female Specific,New,
INXXX908_f,Female Specific,New,
INXXX909_f,Female Specific,New,
INXXX910_f,Female Specific,New,
INXXX911_f,Female Specific,New,
INXXX912_f,Female Specific,New,
INXXX913_f,Female Specific,New,
INXXX914_f,Female Specific,New,
INXXX915_f,Female Specific,New,
INXXX916_f,Female Specific,New,
INXXX917_f,Female Specific,New,
INXXX918_f,Female Specific,New,
INXXX919_f,Female Specific,New,
INXXX920_f,Female Specific,New,
INXXX921_f,Female Specific,New,
INXXX922_f,Female Specific,New,
INXXX923_f,Female Specific,New,
INXXX924_f,Female Specific,New,
INXXX925_f,Female Specific,New,
INXXX926_f,Female Specific,New,
INXXX927_f,Female Specific,New,
INXXX928_f,Female Specific,New,
INXXX929_f,Female Specific,New,
INXXX930_f,Female Specific,New,
INXXX931_f,Female Specific,New,
INXXX932_f,Female Specific,New,
INXXX933_f,Female Specific,New,
INXXX934_f,Female Specific,New,
INXXX935_f,Female Specific,New,
INXXX936_f,Female Specific,New,
INXXX937_f,Female Specific,New,
INXXX938_f,Female Specific,New,
INXXX939_f,Female Specific,New,
INXXX940_f,Female Specific,New,
INXXX941_f,Female Specific,New,
INXXX942_f,Female Specific,New,
INXXX943_f,Female Specific,New,
INXXX944_f,Female Specific,New,
INXXX945_f,Female Specific,New,
INXXX946_f,Female Specific,New,
INXXX947_f,Female Specific,New,
INXXX948_f,Female Specific,New,
INXXX949_f,Female Specific,New,
INXXX950_f,Female Specific,New,
INXXX951_f,Female Specific,New,
INXXX952_f,Female Specific,New,
INXXX953_f,Female Specific,New,
INXXX954_f,Female Specific,New,
INXXX955_f,Female Specific,New,
INXXX956_f,Female Specific,New,
INXXX957_f,Female Specific,New,
INXXX958_f,Female Specific,New,
INXXX959_f,Female Specific,New,
INXXX960_f,Female Specific,New,
INXXX961_f,Female Specific,New,
INXXX962_f,Female Specific,New,
INXXX963_f,Female Specific,New,
INXXX964_f,Female Specific,New,
INXXX965_f,Female Specific,New,
INXXX966_f,Female Specific,New,
INXXX967_f,Female Specific,New,
INXXX968_f,Female Specific,New,
INXXX969_f,Female Specific,New,
INXXX970_f,Female Specific,New,
INXXX971_f,Female Specific,New,
INXXX972_f,Female Specific,New,
INXXX973_f,Female Specific,New,
INXXX974_f,Female Specific,New,
INXXX975_f,Female Specific,New,
INXXX976_f,Female Specific,New,
INXXX977_f,Female Specific,New,
INXXX978_f,Female Specific,New,
INXXX979_f,Female Specific,New,
INXXX980_f,Female Specific,New,
INXXX981_f,Female Specific,New,
INXXX982_f,Female Specific,New,
INXXX983_f,Female Specific,New,
INXXX984_f,Female Specific,New,
INXXX985_f,Female Specific,New,
INXXX986_f,Female Specific,New,
INXXX987_f,Female Specific,New,
INXXX988_f,Female Specific,New,
INXXX989_f,Female Specific,New,
INXXX990_f,Female Specific,New,
INXXX991_f,Female Specific,New,
INXXX992_f,Female Specific,New,
INXXX993_f,Female Specific,New,
INXXX994_f,Female Specific,New,
INXXX995_f,Female Specific,New,
INXXX996_f,Female Specific,New,
INXXX997_f,Female Specific,New,
INXXX998_f,Female Specific,New,
INXXX999_f,Female Specific,New,
TN1a,Male Specific,New,
TN1c,Male Specific,New,
aSP22,Dimorphic,,
dMS9,Dimorphic,,
dPR1,Male Specific,New,
pIP10,Male Specific,,
pIP9,Dimorphic,,
pMP2,Male Specific,,
vMS11,Dimorphic,New,needs_minor_rectification
vMS12,Dimorphic,New,needs_minor_rectification
vMS16,Male Specific,,
vMS17,Male Specific,New,
vPR6,Male Specific,New,
vPR9,Male Specific,New,
